DMS ID,EVCouplings Spearman,Bitscore,Database,len_seq,Virus,assay,log_neff90,Num_Seq,Prop_90,Len_Seq,Neff90
AAV2_CAPSD_Sinai,0.4749047429290551,0.5,uniref100,735,AAV2,fitness,0.0052014883314547,1215,0.1061728395061728,735,45.745522753413496
AAV2_CAPSD_Sinai,0.4911218828504295,0.3,uniref100,735,AAV2,fitness,0.0051489433409569,3563,0.0364861072130227,735,44.0124855252663
AAV2_CAPSD_Sinai,0.4450236994399351,0.1,uniref100,735,AAV2,fitness,0.0057669710900968,3552,0.0515202702702702,735,69.31932665469871
AAV2_CAPSD_Sinai,0.4665028564118547,0.05,uniref100,735,AAV2,fitness,0.0050297516251717,3567,0.0367255396691897,735,40.32079918008164
AAV2_CAPSD_Sinai,0.4640240168776647,0.04,uniref100,735,AAV2,fitness,0.0051318332787658,3577,0.0438915292144255,735,43.4624549102394
AAV2_CAPSD_Sinai,0.4635078119727696,0.03,uniref100,735,AAV2,fitness,0.0052281010999316,3575,0.0441958041958042,735,46.6491314390326
AAV2_CAPSD_Sinai,0.5166290160774228,0.5,uniref90,735,AAV2,fitness,0.0033808253738612,227,0.0572687224669603,735,12.0
AAV2_CAPSD_Sinai,0.5130156395132309,0.3,uniref90,735,AAV2,fitness,0.0033808253738612,427,0.0304449648711943,735,12.0
AAV2_CAPSD_Sinai,0.5115090844071598,0.1,uniref90,735,AAV2,fitness,0.0033808253738612,425,0.0305882352941176,735,12.0
AAV2_CAPSD_Sinai,0.5078576541642333,0.05,uniref90,735,AAV2,fitness,0.0033808253738612,427,0.0304449648711943,735,12.0
AAV2_CAPSD_Sinai,0.5062968971774685,0.04,uniref90,735,AAV2,fitness,0.0033808253738612,425,0.0305882352941176,735,12.0
AAV2_CAPSD_Sinai,0.5037895298090396,0.03,uniref90,735,AAV2,fitness,0.0033808253738612,420,0.0309523809523809,735,12.0
AAV2_CAPSD_Sinai,0.4769361686158397,0.5,uniref_bfd_mgnify,735,AAV2,fitness,0.0051919828201084,1604,0.0816708229426434,735,45.42703320024867
AAV2_CAPSD_Sinai,0.4874753891986007,0.3,uniref_bfd_mgnify,735,AAV2,fitness,0.0056444782579242,4497,0.0520346897931954,735,63.351052430075306
AAV2_CAPSD_Sinai,0.4548898629157973,0.1,uniref_bfd_mgnify,735,AAV2,fitness,0.0056672120663922,4481,0.0522204864985494,735,64.41850063520106
CVB3_2A_Alvarez,0.375068943455439,0.5,uniref100,150,Coxsackievirus B3,fitness,0.0421408231238013,7443,0.1331452371355636,150,556.1975119952289
CVB3_2A_Alvarez,0.3754763142523522,0.3,uniref100,150,Coxsackievirus B3,fitness,0.0421551910096561,7444,0.1333960236432025,150,557.3975119952289
